root_id,root_name,id,name,mimeType,parent_id,path,size,modifiedTime,status,dest_id,error,last_attempt,retries,local_path,root_dest_id,drive_id
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1CHFTiwlXZQIzsP3OXqbgaDSWa3w2NVVI,8 клас_Урок_2_конспект.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1Y4G2f9ghDyMWWDj7wdmJvqx35DeNBQaM,8 клас_Урок_2_конспект.docx,3136335,2025-10-01T23:59:28.000Z,done,1OT3AY5PqDRZwgOc1-qfLaupefW1ms1b3,,2025-10-23T17:50:22+00:00Z,2,MOVA\8 клас_Урок_2_конспект.docx.pdf,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1cYQ7aOe-BTKQS3hrgklyX059LxnhpKWU,8 клас_урок 3 _презентація.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,1Pd4cXXGRFF7zLe95aYyFPHUTriDAQ3zU,8 клас_урок 3 _презентація.pptx,74965524,2025-10-01T23:59:59.000Z,done,1WWeizVHrrTF7HMZ6pKbF223b5OWIExdJ,,2025-10-23T17:50:35+00:00Z,2,MOVA\8 клас_урок 3 _презентація.pptx.pdf,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1UvdC3_pdF1a8KW0e1iV6y2cfjfSFejTN,8 клас_урок 3_конспект.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1Pd4cXXGRFF7zLe95aYyFPHUTriDAQ3zU,8 клас_урок 3_конспект.docx,2128421,2025-10-01T23:59:46.000Z,done,1JMkO9DU17Yi6Db-E4kRQjYA7T6xTzJKC,,2025-10-23T17:50:41+00:00Z,1,MOVA\8 клас_урок 3_конспект.docx.pdf,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1V8qz0YnEoUrMjnNq0nERwT9U-dmN3k7N,8 клас_урок 7_презентація.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,1SaIGdmH0vnv4znehO5inSu2BEfMn2Fo5,8 клас_урок 7_презентація.pptx,34944609,2025-10-02T00:01:03.000Z,done,1M56okGiK5WtkRgkKCQTX9Gn6oAbDMy-O,,2025-10-23T17:50:47+00:00Z,2,MOVA\8 клас_урок 7_презентація.pptx.pdf,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1FHZzO2qzYcrnR_u2eLnua4hCttkL7QlU,8 клас_урок 7_ конспект.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1SaIGdmH0vnv4znehO5inSu2BEfMn2Fo5,8 клас_урок 7_ конспект.docx,1206935,2025-10-02T00:00:53.000Z,done,1L1_dwjjZYNdHQn8zL9Hd5J6nq2NuRAEw,,2025-10-23T17:50:44+00:00Z,1,MOVA\8 клас_урок 7_ конспект.docx.pdf,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1oES1O0HCe4U9Sk45jotV246EkS_Dg938,Урок 7,application/vnd.google-apps.folder,1mBTzztfyDPu_R7ExqclSfuaNUmf1FkqK,Урок 7,,2025-10-02T00:02:09.575Z,done,11w8eXs7kk-1ZqLrL5Vb89VL1vpKQRHY8,,2025-10-23T17:29:36+00:00Z,0,,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1cEUp3PP9Xxj-L734K_wqPRVUj99cNcW1,Урок 3,application/vnd.google-apps.folder,1mBTzztfyDPu_R7ExqclSfuaNUmf1FkqK,Урок 3,,2025-10-02T00:02:04.124Z,done,10KEn4q8TZLM7MGAhwqlDvnltRB4E4Cim,,2025-10-23T17:29:29+00:00Z,0,,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1dKC2ysK_wUjjdzzZwcQ_0yLvZZjki5OD,Урок 2,application/vnd.google-apps.folder,1mBTzztfyDPu_R7ExqclSfuaNUmf1FkqK,Урок 2,,2025-10-02T00:01:59.432Z,done,1JX0p0FXxjP48c3bGeis41w6igdbg5FSx,,2025-10-23T17:29:23+00:00Z,0,,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1ynx7fy2KfterNdnKBpnvhJL_NxnFzIyu,Урок 1,application/vnd.google-apps.folder,1mBTzztfyDPu_R7ExqclSfuaNUmf1FkqK,Урок 1,,2025-10-02T00:01:54.227Z,done,1VOwbe0qGZ2__R5zKjCaOMOXQ2_tmZUAp,,2025-10-23T17:29:17+00:00Z,0,,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1ShDk_trCsvbXuMx026u5mOkrlvVHvI41,9 клас_урок 1_презентація.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,1ynx7fy2KfterNdnKBpnvhJL_NxnFzIyu,9 клас_урок 1_презентація.pptx,12963305,2025-10-02T00:02:31.000Z,done,1PqWMz05uFYvh1akJrEwZs_5Tp3DqxfXs,,2025-10-23T17:50:57+00:00Z,2,MOVA\9 клас_урок 1_презентація.pptx.pdf,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1Zazhhk2tKACqOi1WEvGJ3rlq477n_Hfp,9 клас_урок 1_конспект.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1ynx7fy2KfterNdnKBpnvhJL_NxnFzIyu,9 клас_урок 1_конспект.docx,4387362,2025-10-02T00:02:25.000Z,done,10jWIjg5W6XRUyEF_2QZQo1haZMb3SQ7J,,2025-10-23T17:50:53+00:00Z,1,MOVA\9 клас_урок 1_конспект.docx.pdf,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,15CO7P4BdZ-xJw4puSFau9DUV-9MMvn0b,9 клас_урок 2_презентація.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,1dKC2ysK_wUjjdzzZwcQ_0yLvZZjki5OD,9 клас_урок 2_презентація.pptx,46230922,2025-10-02T00:03:21.000Z,done,10P9lBODJGJfZTnFmeqVzIRRvwZb7f5B8,,2025-10-23T17:51:05+00:00Z,2,MOVA\9 клас_урок 2_презентація.pptx.pdf,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,12b2ELBjB9KD0nAFi_xyMCUrAN7-pjJbG,9 клас_урок 2_конспект.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1dKC2ysK_wUjjdzzZwcQ_0yLvZZjki5OD,9 клас_урок 2_конспект.docx,3000233,2025-10-02T00:03:06.000Z,done,18pKAb6pRiQeTLPjw54UDfWmyRZgfm3mn,,2025-10-23T17:51:01+00:00Z,1,MOVA\9 клас_урок 2_конспект.docx.pdf,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1DsdpRqNVhqacdDFzJTR7OIFxPK9vgVt0,9 клас_урок 3_презентація.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,1cEUp3PP9Xxj-L734K_wqPRVUj99cNcW1,9 клас_урок 3_презентація.pptx,35664152,2025-10-02T00:03:32.000Z,done,1TTBUm2XUeM_bSGOuSfrEOoQ0ahgPEhk-,,2025-10-23T17:51:15+00:00Z,1,MOVA\9 клас_урок 3_презентація.pptx.pdf,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1S9szszYW0D9vPQXhvfvdGfoSzS_p5vsM,9 клас_урок 3_конспект.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1cEUp3PP9Xxj-L734K_wqPRVUj99cNcW1,9 клас_урок 3_конспект.docx,5150969,2025-10-02T00:03:21.000Z,done,14ep5j3-qWV4AUJbkYAeInRkbYeuK8gE9,,2025-10-23T17:51:10+00:00Z,2,MOVA\9 клас_урок 3_конспект.docx.pdf,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1tWtXWL4JDFW3RIYCELdWMwnUeWhOzih4,9 клас_урок 7_презентація.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,1oES1O0HCe4U9Sk45jotV246EkS_Dg938,9 клас_урок 7_презентація.pptx,3328213,2025-10-02T00:03:38.000Z,done,1s-JjnHGMgy2_bjTu2eShg221BaoIDFmG,,2025-10-23T17:51:23+00:00Z,2,MOVA\9 клас_урок 7_презентація.pptx.pdf,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1T2ZIQmyaXybCu01WbGakrPA_b9_3G09I,9 клас_урок 7_конспект.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1oES1O0HCe4U9Sk45jotV246EkS_Dg938,9 клас_урок 7_конспект.docx,1579428,2025-10-02T00:03:34.000Z,done,1PHDTxEKPSdWQzhRuEGFpw4DxR4bFOolq,,2025-10-23T17:51:20+00:00Z,3,MOVA\9 клас_урок 7_конспект.docx.pdf,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1EkmLAwjyZXs_VRvI10NWJga0axZ5XHbv,Урок 2,application/vnd.google-apps.folder,1LChF16pTV1Y_V3xBQ2xKfl1HLWLpDzMO,Урок 2,,2025-10-02T00:06:43.623Z,done,1amxNQt3MoMk4vLHlH_g5sSqv4Slt16jV,,2025-10-23T17:29:25+00:00Z,0,,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,19beDjoBPG1VkKe1ubKO06RomPls79YgY,Урок 1,application/vnd.google-apps.folder,1LChF16pTV1Y_V3xBQ2xKfl1HLWLpDzMO,Урок 1,,2025-10-02T00:06:38.001Z,done,1LS6HBxgRZHdMeKyhcx6mGVc9A3wRPca8,,2025-10-23T17:29:18+00:00Z,0,,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1Msg0hJD6VYBadwGi_1NaEfSC2LZ8y12x,10 клас_Урок 1_ презентація.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,19beDjoBPG1VkKe1ubKO06RomPls79YgY,10 клас_Урок 1_ презентація.pptx,8234303,2025-10-02T00:07:48.000Z,done,1Ja8ILSYO7Uc0ORiyEQqtA-25Egq-DTfy,,2025-10-23T17:49:00+00:00Z,4,MOVA\10 клас_Урок 1_ презентація.pptx.pdf,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1PUXNqZrv0rWHBkWqMZNjgrPu7m9X0ebK,10 клас_ Урок 1_конспект.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,19beDjoBPG1VkKe1ubKO06RomPls79YgY,10 клас_ Урок 1_конспект.docx,1130430,2025-10-02T00:07:42.000Z,done,1nh1-zj3KvJCaSFmu-rpoum1MZEAk8Jwj,,2025-10-23T17:47:25+00:00Z,2,MOVA\10 клас_ Урок 1_конспект.docx.pdf,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1fUNqOGAaxC7A18DVZnh58zU66rRN4xlD,10 клас_Урок 2_ презентація.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,1EkmLAwjyZXs_VRvI10NWJga0axZ5XHbv,10 клас_Урок 2_ презентація.pptx,6827827,2025-10-02T00:08:46.000Z,done,1BKlW8WAhjoUfFIdEtMv6PXHSH0Jp_yo2,,2025-10-23T17:49:04+00:00Z,3,MOVA\10 клас_Урок 2_ презентація.pptx.pdf,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1ICm7AhxblHSC6skDyMpC2Cr7n3rJ7x8l,10 клас_Урок 2_конспект.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1EkmLAwjyZXs_VRvI10NWJga0axZ5XHbv,10 клас_Урок 2_конспект.docx,612357,2025-10-02T00:08:46.000Z,done,1_QfkBNZ5PrOI4bGgOBgKPWeSWkCYKYoX,,2025-10-23T17:49:08+00:00Z,3,MOVA\10 клас_Урок 2_конспект.docx.pdf,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1plwX7w2frvnppN4u4tGFbsSOMKwEX0Lb,Урок 3,application/vnd.google-apps.folder,1U9yd_Bh_AemrleZ0TjG70x0Pp4cAi_gF,Урок 3,,2025-10-07T15:50:31.336Z,done,15GbOmm4Bg4JpsZRXVfnmNSyDeKerUnt3,,2025-10-23T17:29:31+00:00Z,0,,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,17Ei6UYATNL53Mo0o9Ag2ygsagGTYdHjU,Урок 2,application/vnd.google-apps.folder,1U9yd_Bh_AemrleZ0TjG70x0Pp4cAi_gF,Урок 2,,2025-10-02T00:10:05.183Z,done,1J0cwsRaN9asn3FI4pkWewaEuMmEPg5Pt,,2025-10-23T17:29:26+00:00Z,0,,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1-dYOW7u70I7rRSlGDDxQsXTJLlC6CtLv,Урок 1,application/vnd.google-apps.folder,1U9yd_Bh_AemrleZ0TjG70x0Pp4cAi_gF,Урок 1,,2025-10-02T00:09:50.541Z,done,1C7MSBjKPWKwhc3Qqp3E5PpdDSa4QZHIz,,2025-10-23T17:29:19+00:00Z,0,,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1N1_gORtjv--issXm5EsK0HZQ4FMsjrdR,11 клас_ Урок 1_презентація.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,1-dYOW7u70I7rRSlGDDxQsXTJLlC6CtLv,11 клас_ Урок 1_презентація.pptx,31824761,2025-10-06T16:37:58.986Z,done,1KYqWzi21Jf5ZnxR0eV62YKkQr2hFHMJB,,2025-10-23T17:49:12+00:00Z,4,MOVA\11 клас_ Урок 1_презентація.pptx.pdf,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1aAjUM6xMeg665sVefKFfpgC2wJW0fFPA,11 клас_Урок 1_конспект.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1-dYOW7u70I7rRSlGDDxQsXTJLlC6CtLv,11 клас_Урок 1_конспект.docx,8627511,2025-10-02T00:10:59.000Z,done,1qbgtMN8TR4vhMCvmBADaHHMVaVg89IMl,,2025-10-23T17:49:21+00:00Z,4,MOVA\11 клас_Урок 1_конспект.docx.pdf,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1WfATctR7I4_9ATpw4N9VCdQ2_m9AtHdN,11 клас_Урок 2_конспект.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,17Ei6UYATNL53Mo0o9Ag2ygsagGTYdHjU,11 клас_Урок 2_конспект.docx,7602990,2025-10-22T05:38:00.000Z,done,1QgYMTt3ZuJbwBr0dh4M6FirRLcfZqleE,,2025-10-23T17:49:27+00:00Z,4,MOVA\11 клас_Урок 2_конспект.docx.pdf,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1rspGz8hJqLMAOUHDqmPXNwkkF7Yjgj0H,11 клас_ Урок 2_презентація.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,17Ei6UYATNL53Mo0o9Ag2ygsagGTYdHjU,11 клас_ Урок 2_презентація.pptx,14569933,2025-10-02T00:11:51.000Z,done,1CWzy-aMj5WbEnKfOqgY9TdkBWeid6g87,,2025-10-23T17:49:16+00:00Z,4,MOVA\11 клас_ Урок 2_презентація.pptx.pdf,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1N7q4SqOnGhxnwQVet8bimhqhxKfmBaB1,Клас 11_Урок 3_презентація.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,1plwX7w2frvnppN4u4tGFbsSOMKwEX0Lb,Клас 11_Урок 3_презентація.pptx,11636734,2025-10-07T15:54:50.000Z,done,1RNjCF7Kg0D9n1nmelsxEL5UIgIJqsL0J,,2025-10-23T17:51:32+00:00Z,3,MOVA\Клас 11_Урок 3_презентація.pptx.pdf,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1fj6vjEU1YmzrdgIOVfxAPpV1V5MEuCK3,Клас 11_Урок 3_конспект.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1plwX7w2frvnppN4u4tGFbsSOMKwEX0Lb,Клас 11_Урок 3_конспект.docx,6568173,2025-10-07T15:54:45.000Z,done,1IKbFhdJFx38IsEFssQc7J864wnB__x9v,,2025-10-23T17:51:26+00:00Z,2,MOVA\Клас 11_Урок 3_конспект.docx.pdf,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
